Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,2.659042294,-0.778595521,-2.136960595,-1.151646694,6.890275869,6.109712583,0.70819472,8.017547147,-1.338983874,1.564900007,-2.855306243,5.940175265,-0.418563991,3.895372389,10.0706061,2.923879063,1.090588508,4.238661434,-0.658403003,5.744549155,0.241510728,-0.256318087,3.29487893,4.650048758,4.746447781,3.30090937,2.68284546,2.602960513,4.19715718,8.179149473,4.047136648,2.924260791,6.834093974,4.178225969,1.696230575,1.492703052,1.048195088,1.741801307,3.687826129
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.798310323,-22.23635607,17.69810321,-5.109251174,14.70044629,-14.91632976,44.56295492,-6.375134495,-7.592323523,18.22478943,0.005267441,-0.100705134,-5.657217847,5.971751858,6.411059022,-4.41531138,17.45982481,5.31187593
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,1.926629227,-1.731078149,-1.491533589,15.10706376,7.415899453,-1.412563378,7.006503424,4.393462061,3.059350383,4.411801254,0.056835725,3.578314314,2.319862821,3.465306444,4.112650114,2.962657134,5.237620806,5.394726203,1.307547445,3.417630469,34.96055328,6.753386067,4.580853928,7.184203144,5.852038536,5.509096822,6.532353554,4.194207999,5.79978468,1.793302432,6.168159794,2.638675523,4.826862382,3.78991605,3.557308781,4.000463896,3.336630877,2.953871262,2.361193982
Angola,AGO,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.022842415,9.073096171,4.549134155,16.30310755,5.577322782,4.752971789,5.732631739,8.537911523,9.15619379,7.110377051,4.019669624,17.3236807,10.214245,3.887213455,0.470400353,-7.574241317,-4.400516734,6.878429574
Albania,ALB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.11227752,6.23379361,5.395329513,6.695426768,2.693068379,2.047752202,2.943582606,6.307945302,0.678565773,3.118504495,2.716325787,7.071481622,1.904877065,7.649919365,4.773039324,5.394261204,1.135051974,1.961956132,0.767836771,2.047388968,0.8353392,1.176929739,0.39022131,0.909585427
Andorra,AND,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,0.574811212,5.517940413,4.137285213,3.680812944,-3.695642167,6.940016858,-1.506551829,10.22270055,5.315585754,-1.827600326,-2.272246598,3.388649308,2.236167521,8.608620971,-0.696411649,4.067407082,6.315189607,7.981185971,2.61252001,4.666333579,8.601799339,0.202951883,2.42433363,4.219640871,0.56933888,4.295757181,-0.560440408,11.06265068,0.387740684,5.823860545,2.662916563,-1.694622833,4.192223416,3.463159236,1.793733832,4.112016795,3.072382532,5.365839006,-3.367536071,1.562629444,5.958934178,3.891758529,9.000470305,2.29021915,4.993328016,3.35930787,0.563882133,-0.684357216,-0.661641243,2.336244319,3.123318394,0.497662949
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.210279333,-3.1166052,-1.970845088,-4.013585963,-8.641924025,-1.842344039,-10.89171323,-0.410620034,-10.80988494,5.334416457,2.271226268,0.517321588,-0.166131938,1.316082306,3.425920365,3.311010051,5.401331827,2.670535201,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,0.91748306,2.545519331,-4.255366374,4.444495961,-9.290894877,1.573616093,1.924221585,10.7147354,2.728396491,-2.747213096,4.719644089,2.444911363,2.784402317,2.86384178,-6.006531908,3.494103705,7.478221152,2.027512519,0.35831021,-1.69511856,0.178732596,-2.727992339,7.866173312,-8.217715239,8.480510723,4.093147897,0.187998716,2.425672187,7.277588547,5.552498334,-0.890091314,0.608914675,8.296077103,2.374349492,-1.765876735,1.491126224,-2.650506664,6.770418038,0.38332477,18.78847945,-0.52555081,8.537582928,-2.185821337,-26.10145648,39.52397782,-2.428483193,-12.87515309,11.47661962,3.104253191,7.541961722,-4.716943353,3.445064582,-15.02223735,21.26856304,-7.482272469
Armenia,ARM,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.999996739,-8.700001288,-5.799997739,3.099995697,4.000002755,1.994688228,-4.499539797,12.85923609,1.400004972,-1.099999992,12.13713128,3.869017254,4.213302957,14.53794519,11.27815014,0.483597757,10.30000802,3.000000012,5.922553817,-15.90577663,14,9.500000009,7.6,6.100000006,13.2,-4.999999999,-5.100000003,-6.9,-2.6,-4
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,14.10047887,-27.38748413,-5.343103399,-18.26164719,-16.53919448,-2.037381032,-6.143826543,-4.362834393,6.962689039,14.5254268,6.291334991,5.204139736,6.090479767,3.48062954,4.328751097,4.06504065,-1.293103448,-8.378820961,-2.085195115,4.958929115,4.260869565,3.280511537,3.33781965,-2.13597291,12.0308757,5.987170349,-1.950235373,11.70553269,5.689725747,-0.929512006,-6.880375293,-14.04282116,1.636141636,13.62325805,1.522520617,7.706727765,-16.94063044,2.607683353,3.744043567,14.96062992,0.742009132,1.397544854,0.428385174
