Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,11.27652701,11.85082378,12.23992209,13.65068702,15.47192511,16.63476086,17.0062816,17.47614059,17.8187469,18.41377234,19.39714286,19.93246963,,24.25782449,27.27174947,26.62826083,22.46267407,21.53328954,20.56666074,19.89584346,18.90485311,20.81368509,20.08478557,19.7197891,19.30509214,18.80654908,20.69720949,19.73835833,19.25196485,22.01971988,22.35458713,20.34571457,20.36531098,19.48354321,19.61580419,23.38857247,18.67797971,19.10893462,17.06385637,19.98062197,20.64314915,20.50479481,20.0864886,20.79973105,22.22349955,18.18200207,17.36671823,20.1238482,19.32600287,20.99008098,23.57822666,23.23544249,,
Afghanistan,AFG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.14379085,0.142857143,0.141935484,0.141025641,0.141025641,0.191448628,1.274859765,1.912289648,2.162849873,2.465057179,2.594936709,3.680151707,3.109987358,4.285714286,4.599747155,5.592414665,6.855372946,6.784955752,6.288116308,6.46346397,5.778887484,6.672945638,7.152970923,9.178255373,9.224020228,8.505689001,9.98988622,7.04551201,7.029077118,5.625790139,6.144121365,5.790139064,5.112474438,,,0.653851183,0.650618087,0.902410726,0.65333856,0.650787453,2.394897826,3.194390466,3.478546063,4.243778147,3.814784113,3.190854503,2.101268925,1.851684629,1.887862184,1.777859618,3.827005519,2.377852375,4.882714194,10.16611247,4.022200901,13.6801462,20.4525289,7.65067636,,
Africa Western and Central,AFW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,0.984162764,1.137460633,1.013116415,0.928655972,1.239446114,1.37772059,1.777183601,1.712883363,2.418608007,3.107638214,3.550157068,4.662555361,4.303907222,4.984291658,5.624691923,7.223349587,6.730900048,8.085857808,7.990423053,6.813395169,6.423466448,6.094845517,7.177305177,7.648257164,8.050644204,8.086359107,8.377997821,8.797393766,6.854961323,5.460899566,5.422157442,6.00852955,6.077957187,6.261061363,5.93545519,6.244135524,,6.587064167,6.489195381,6.727236449,8.667997051,5.630987078,6.100828111,6.548138147,10.19694549,6.846120604,9.250832015,9.669983149,9.736087295,10.68901013,13.1149721,16.48986945,15.92862159,,
Angola,AGO,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.374531835,0.37037037,0.514705882,0.763636364,1.444043321,1.857142857,2.367491166,2.657342657,3.620689655,3.896551724,8.620689655,7.689655172,7.379310345,5.206896552,1.413793103,0.724137931,10.89655172,8.103448276,4.724137931,5.793103448,4.172413793,1.724137931,2.965517241,2.410689655,7.014827586,4.137931034,3.551724138,5.485862069,8.138275862,3.275862069,2.338983051,3.033333333,2.666666667,3.333333333,2.666666667,2,0.666666667,1.133333333,1.133333333,0.466666667,,1.659032258,1.788787879,4.501515152,2.260606061,3.66,3.305,8.258823529,5.47225,8.43,11.98382979,8.876048936,9.263957143,9.259387755,8.048334694,7.241269388,10.67468163,7.930093878,,
Albania,ALB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,14.58796296,11.9266055,12.04545455,14.4469526,17.39130435,20,31.76229508,74,70.58823529,84.64491363,101.509434,102.962963,106.0218978,114.7217235,111.0124334,125.2173913,135.6896552,171.35506,168.2675815,160.1709402,138.4353741,179.9660441,174.3633277,159.5925297,159.762309,163.4974533,161.0169492,163.559322,182.9896907,176.1658031,54.15224913,40.65743945,31.00519931,25.59792028,19.06412478,11.26516464,8.996539792,43.32755633,18.37088388,32.35294118,32.35294118,97.58477509,99.31956747,101.3073356,112.375316,85.80246575,88.4199654,77.3097377,90.37835796,85.02392971,97.43427653,93.0615571,88.17109058,88.38580247,107.831247,126.1384814,100.6473225,66.58507621,,
Andorra,AND,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,26.48970775,26.9795713,28.47992951,30.9729177,32.08245531,35.0694479,39.30957202,42.85399733,43.86209545,47.20928106,53.5216512,58.43209881,66.18704507,72.40397469,73.50539102,72.85503607,69.0888864,70.63800022,66.05055268,66.12010751,72.4110629,66.1845623,68.59602834,70.88846268,72.86209541,75.60024302,79.17964425,82.34021457,89.93206776,94.25435388,79.16493035,90.20492578,90.0238408,90.77797482,86.61730137,83.83888174,79.25107568,76.19504419,81.71682508,51.58945121,52.70414126,50.87105038,55.66312462,53.93118282,58.92103684,59.1200368,,
United Arab Emirates,ARE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,79.57142857,66.25,79.88888889,81.81818182,100,75,126.1666667,291.6666667,190.875,192.3684211,211.6111111,199.7826087,113.9583333,143.3461538,49.65517241,107.5862069,186.2068966,417.9310345,357.1428571,499.1428571,586.8421053,692.5,700,744.1860465,700,717.7777778,983.3333333,841.8604651,585,492.9577465,644.8,755.625,767.6190476,667.0588235,834.3873518,940.5829596,798.6434109,623.0460922,737.3517787,900,848.2479784,1033.866667,629.1565909,714.9272109,708.5008989,708.5008989,745.3496454,,
Argentina,ARG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.8733129,0.662721585,1.075510204,1.475,1.979375397,2.432802666,3.064321203,2.837029894,3.071938835,3.347538462,2.965384615,3.315384615,3.201653846,2.888461538,2.319230769,3.008807692,2.857884615,4.118269231,5.003153846,4.444923077,3.710576923,3.951851852,4.388888889,5.87037037,6.022222222,5.597925926,6.264925373,6.163006789,5.783906309,6.227657573,6.270614693,9.266380437,10.92971365,17.11237869,19.35805202,31.42731148,29.63396779,28.27711942,29.91064943,31.22225036,31.0672169,30.2339387,41.84670629,45.30911454,36.40231021,41.41125839,49.25671781,35.21496838,22.98477779,39.18080093,41.71741317,34.52643759,35.97135948,35.19526327,27.27674974,41.28806122,42.30753163,48.23673622,,
Armenia,ARM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.10165485,34.64203233,16.09195402,16.09195402,17.77777778,17.58241758,21.14285714,13.68444444,15.55555556,10.98901099,34.52307692,22.9978022,31.65054945,22.69230769,127.8438949,59.32315859,54.15253108,88.00044504,66.0548495,80.9579252,129.4081178,132.0673806,118.6884916,145.5999552,330.4903674,202.5544843,202.7363106,,
American Samoa,ASM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27.25,7.5,6,4.5,0.5,3.5,13.25,3,3.25,9.8475,12.53,7.9525,5.475,18.2125,5.2625,3.225,,
