Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,158.8290846,146.9896158,146.7033234,170.1542366,167.4983877,157.5221653,119.5641051,132.3983068,105.9545965,116.0965644,122.4407865,123.4233706,124.9584711,124.9116491,124.1976414,122.9016231,118.1526845,115.8393685,120.8541837,130.7248074,143.4738472,154.6751843,125.9258059,108.8185043,119.0215088,121.6033377,122.2866938,115.2144229,119.9264279,112.846804,115.999609,107.49059,121.7799793,118.8584972,107.0049277,106.9594452,104.3773859,110.7209352,110.1388524,140.0331944,139.4412004,145.7073573,122.9332741,141.9291895,117.2970262,301.3850687,276.5981162,296.3967741,200.0428087,252.4872652,418.609674,410.9479652,348.7481752,381.7183753,391.1065834,443.0815172,658.6246354,650.2795527,,
Afghanistan,AFG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,177.3290788,246.2704752,168.8203641,143.8775239,111.115942,102.9792961,104.5521472,94.63975155,109.2815735,117.1428571,148.8925349,132.1775362,119.9286988,139.3650794,100.9601449,100.7246377,77.39130435,99.59016393,109.047619,100,,,100,100,140,100,100,100,104.7515589,166.8225349,170.4664919,190.4829505,141.0156498,96.49024922,94.17926129,108.1295752,115.2458825,155.9587823,114.0888766,220.5763941,495.0859184,195.7284577,662.6173466,986.8021558,369.3248104,,
Africa Western and Central,AFW,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,623.5377358,111.0116874,54.25584868,121.2997778,119.5229994,112.0479308,130.4915041,166.791331,390.4761905,416.8694581,474.7907631,303.6345695,409.5327511,544.9277926,607.8752363,850.9433962,1178.358209,652.7054108,441.875,398.8265971,151.3439386,103.0410959,114.7008785,119.3172247,128.0749565,119.2476791,141.8439716,157.2574167,107.7666345,118.9338036,154.0386657,127.0770867,177.2792023,138.2116781,51.64075993,872.6765068,730.9202421,767.8478467,1115.063062,4661.143295,997.3618376,2304.857577,520.731963,1753.283752,594.463485,312.384113,175.8372776,174.2091249,169.597991,167.5868206,208.4673449,184.4029934,,
Angola,AGO,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,1280,400,316.6666667,155,119.3548387,100.5586592,101.146789,94.38596491,97.54385965,102.2887324,106.5,102.6272578,106.8249258,110.5337079,104.4979079,102.9380902,99.68085106,103.0379747,106.2124248,104.7959184,101.0752688,101.1827957,103.5483871,102.3706897,102.3329799,102.2072937,104.1879469,104.3333333,242.2680412,166.1095636,308.9958159,1100,216.6666667,173.3333333,1250,530,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,89.41507046,85.96456771,96.60374926,108.0234727,115.8121792,116.7506646,104.553287,114.6579768,98.50773139,106.1198496,118.1896602,71.5040136,68.72012045,63.58241873,62.08456371,66.09196259,60.41838858,51.28251388,46.83561578,46.01928961,47.4116963,46.10734807,39.42728322,36.73168675,40.72509407,40.37326768,39.07146543,39.5419718,34.14978796,33.36939982,34.0857012,35.93269042,33.06383969,33.34226268,32.45208037,31.54608703,33.29961915,29.38923587,31.76969698,30.03202773,27.91323778,24.0991761,22.74817651,21.69603742,17.42018674,19.70318411,17.94701083,16.58356302,16.41002099,17.4900878,15.80159781,15.14348148,14.29135283,,
United Arab Emirates,ARE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,51.05555556,1.731889564,2.238169589,0.680529301,1.27973749,2.214930271,4.549652019,5.474772249,7.345243251,9.599655618,10.66615325,12.7826087,10.89918256,12.46130031,10.78104139,13.67323291,13.31567719,14.42070666,12.63994222,13.31277873,12.44211176,12.73771269,9.620360551,11.19300106,11.121421,10.9252386,8.242311771,9.891304348,10.64516129,9.642725824,5.887981047,2.966574864,3.378658537,3.378658537,3.378658537,3.378658537,,
Argentina,ARG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,523.9032258,211.85,421.6,590,810,1413.878429,604.1832142,265.846855,381.6271707,246.602822,176.6323024,200.4651163,247.9167287,250.3333333,245.1219512,271.6284722,264.242532,370.4632737,494.2325228,373.5591686,382.639908,227.0212766,236.5269461,301.3307985,312.6923077,420.042798,383.3333333,318.0039139,309.2929293,315.2380952,397.1042013,759.3000489,537.9040228,708.7411407,900,1059.727385,833.7796087,786.5111562,688.5451505,587.0632653,198.9363028,160.8512507,197.5844949,222.144902,208.3625494,218.9827268,382.6881166,305.8803098,153.2786359,343.5883938,303.389554,253.0057898,209.3599916,255.6533314,212.515123,259.5626663,236.7238229,364.0655521,,
