Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.518139318,2.509989353,2.476861475,2.79446944,3.599443545,3.922194258,3.855979051,3.842589928,3.718352681,3.397593382,3.27253116,3.168894009,2.959410382,2.839438339,3.141739325,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,15.89856481,15.76905322,15.74109845,15.67317412,15.01119515,15.303582,15.74533321,16.02823459,16.32674478,15.96578793,14.84184642,15.070034,14.06965868,13.51104242,12.0248855,12.13095284,12.1902743,12.36075626,11.42756966,11.63594806,12.14254744,12.19695649,11.96346791,11.78766895,11.38201563,10.81845543,10.74653319,10.36879505,10.6615428,10.44185267,9.993410254,9.862279161,9.721908039,9.846761299,10.05711986,10.41903131,10.3324078,9.979057212,9.851149897,
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82275218,16.92386623,17.55400626,16.59821222,16.3855372,17.74730953,17.8391163,13.14987661,12.52257684,13.77918924,12.48608514,11.49986726,11.47758756,11.420006,4.114196613,3.530422461,6.160177217,7.043181081,5.960865165
Africa Western and Central,AFW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,17.07542596,17.04009324,17.58865029,15.31329258,18.14802694,18.26789467,16.43101965,17.87038851,16.00423393,15.7670286,16.77286789,15.54293122,16.15375206,17.7926343,17.2299729,16.42619599,16.63299475,15.44736477,14.88661807,13.23584161,13.21109609,11.74553721,11.78581433,10.84503951,10.43894706,9.6478083,9.260594015,9.040464787,8.894038093,7.935178007,8.465986937,8.642646608,10.01514695,10.54450712,10.10367825,9.570342612,9.720031422,10.69732664,11.89021507,12.71532895
Angola,AGO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.646280794,3.445749994,4.378391184,6.259370843,3.222875779,2.890163321,3.873100814,3.661825665,3.999814424,4.681937283,3.912883549,3.612815774,3.39949164,3.461736791,5.109421785,4.541773802,4.167804797,4.403289594,4.827342815,4.763071572,5.685144864,6.75268057,6.580549623,6.059469206,4.30866654,
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.857833552,4.58344068,4.723906746,4.532427471,4.31787582,4.098963311,4.066562328,4.124191029,4.177575835,4.425866485,4.904977467,5.296840973,4.99776043,5.197570899,5.452117165,5.66188733,4.614429272,5.059810816,5.325821932,5.671490638,5.684423559,6.158145148,6.147893902,6.270142528,6.211736852
Andorra,AND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,7.110608787,6.741900238,6.863174521,7.003661303,6.927847641,6.67808842,7.871976796,8.164477425,9.053777475,9.929556266,10.23364353,10.36191586,11.24503397,11.64201124,11.33387202,10.28363493,9.895621582,9.964282695,10.05547964,9.976079636,10.19973094,10.15504281,10.47983136,10.57939582,12.45406574,14.253227,14.98331189,14.86199772,14.70116972,14.15089374,13.60935761,13.08840608,12.70842117,12.30785811,12.49994976,12.65138989,12.14994456,12.05167835,11.72954536,11.77805379,11.97514245,11.9295261,12.13915649,12.1446374,11.73954118,
United Arab Emirates,ARE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,0.910603125,1.12309252,2.744072022,3.4321661,3.057567543,3.728083743,6.412373069,7.92687202,8.769752627,9.14469269,8.927517175,8.275618545,8.774491087,8.840712483,8.166576883,7.493888516,7.423063916,7.583671501,7.843780607,6.587692746,6.772462657,6.637292654,7.895500625,8.631087315,8.557489537,9.072000292,13.31375919,13.06347632,12.26246108,11.51238292,10.60803974,9.656954628,9.025577573,8.600265388,9.195377117,7.949586749,7.703089172,7.668185426,7.530345439,7.763546407,8.833294938,8.984417898,9.154513274,8.733495109,8.720836497,
Argentina,ARG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,41.18416018,41.00858489,37.82402724,36.19621884,36.64543034,31.54474366,35.76285897,36.35807353,34.33397467,34.03688521,38.21510828,39.11676033,36.59498673,34.12760921,32.68515767,29.47609699,28.76523629,31.36025626,30.66946753,29.7084408,29.64184731,27.41959716,27.49664628,27.99967586,30.94937189,26.78970455,24.38644909,21.85913156,18.23991153,17.81909171,17.24675211,17.53572329,18.22790575,17.83795848,16.96152506,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.83516834,12.77630382,13.00298257,13.86030695
