Year,China,India,USA,Ecuador
1960,59716467625,36878683724,5.464E+11,2043509724
1961,50056868958,39026635578,5.668E+11,1726040723
1962,47209359006,41934681632,6.092E+11,1494353887
1963,50706799903,48186723224,6.431E+11,1806525751
1964,59708343489,56175789636,6.907E+11,2225203588
1965,70436266147,59210461463,7.49E+11,2362036266
1966,76720285970,45536890605,8.201E+11,2404097428
1967,72881631327,49790942203,8.671E+11,2528684150
1968,70846535056,52745455871,9.486E+11,2555067797
1969,79705906247,58086661684,1.026E+12,3084153420
1970,92602973434,62043816388,1.07436E+12,2833290166
1971,99800958648,66959943084,1.16293E+12,2718503142
1972,1.13688E+11,71072538513,1.28051E+12,3140765557
1973,1.38544E+11,85101941339,1.43185E+12,3775699920
1974,1.44182E+11,99161036284,1.5533E+12,6432079282
1975,1.63432E+11,98178114598,1.68455E+12,7676350735
1976,1.5394E+11,1.02456E+11,1.8696E+12,8952057258
1977,1.74938E+11,1.21215E+11,2.08267E+12,10829952446
1978,1.49541E+11,1.3711E+11,2.34986E+12,11653573257
1979,1.78281E+11,1.53181E+11,2.6142E+12,13770371966
1980,1.91149E+11,1.86762E+11,2.84706E+12,17268130651
1981,1.95783E+11,1.93535E+11,3.20189E+12,21049102098
1982,2.05361E+11,2.00057E+11,3.37145E+12,18929373985
1983,2.31563E+11,2.17347E+11,3.61417E+12,16262056379
1984,2.61221E+11,2.1096E+11,4.03229E+12,15808986196
1985,3.10328E+11,2.31344E+11,4.31007E+12,16089586704
1986,3.00735E+11,2.47574E+11,4.51654E+12,14271644255
1987,2.72794E+11,2.77014E+11,4.82888E+12,12885923997
1988,3.1223E+11,2.93483E+11,5.25609E+12,11818295218
1989,3.47943E+11,2.92603E+11,5.59838E+12,12526174547
1990,3.61823E+11,3.16775E+11,5.90229E+12,14028697797
1991,3.84152E+11,2.65995E+11,6.09675E+12,15870976488
1992,4.2713E+11,2.83799E+11,6.43547E+12,17149765883
1993,4.43809E+11,2.75445E+11,6.73377E+12,18077986993
1994,5.63289E+11,3.23109E+11,7.17025E+12,21768303152
1995,7.22773E+11,3.56252E+11,7.57469E+12,23508422211
1996,8.5131E+11,3.89212E+11,8.04591E+12,24202981491
1997,9.506E+11,4.12314E+11,8.58927E+12,27134639320
1998,1.0124E+12,4.17793E+11,9.13546E+12,26810811406
1999,1.07953E+12,4.55259E+11,9.68922E+12,18337918959
2000,1.19668E+12,4.63419E+11,1.03837E+13,17103552776
2001,1.32022E+12,4.81233E+11,1.07437E+13,23235924000
2002,1.4556E+12,5.1149E+11,1.10544E+13,27296182800
2003,1.65007E+12,6.03193E+11,1.15301E+13,30940439900
2004,1.95022E+12,7.04169E+11,1.23143E+13,34751628400
2005,2.26986E+12,8.14483E+11,1.31673E+13,39691563800
2006,2.74699E+12,9.32915E+11,1.40723E+13,44974439600
2007,3.55838E+12,1.21164E+12,1.45435E+13,48973356000
2008,4.62287E+12,1.19174E+12,1.46849E+13,60290373000
2009,5.09317E+12,1.33388E+12,1.4401E+13,61241510000
2010,6.06109E+12,1.65766E+12,1.51278E+13,68569173000
2011,7.48112E+12,1.80702E+12,1.58358E+13,78067843000
2012,8.51241E+12,1.80618E+12,1.66691E+13,86587424000
2013,9.49258E+12,1.8336E+12,1.71725E+13,93662124000
2014,1.0489E+13,2.01502E+12,1.8055E+13,1.00144E+11
2015,1.10198E+13,2.07918E+12,1.8696E+13,97501257000
2016,1.11883E+13,2.24794E+12,1.90693E+13,98028639000
2017,1.23007E+13,2.6228E+12,1.99667E+13,1.01858E+11
2018,1.38199E+13,2.67218E+12,2.09546E+13,1.04605E+11
2019,1.42461E+13,2.84327E+12,2.169E+13,1.04935E+11
2020,1.46237E+13,2.5983E+12,0,96468082000
