Year,China,India,USA,Ecuador
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,13.8880238,0,0
1976,0,16.88630227,0,6.093011384
1977,0,14.5944442,0,7.621071313
1978,0,14.21623643,0,12.93155106
1979,0,10.69591818,0,38.62031936
1980,0,9.271040759,0,19.0729844
1981,0,10.1001582,0,31.06719597
1982,7.58958386,10.98564592,0,40.77751076
1983,9.761050959,13.50541932,0,20.33648282
1984,6.614426911,14.6672021,0,34.68721011
1985,6.369709602,19.147051,0,29.26915292
1986,8.34258792,28.48310844,0,38.88169302
1987,7.999671913,27.84450181,0,30.58722174
1988,8.506738202,26.69770984,0,37.35537823
1989,10.10163522,26.52363081,0,32.77165328
1990,10.61087783,27.16493477,0,31.22656721
1991,10.84711676,26.76187284,0,30.81422195
1992,9.384995803,25.43842758,0,24.08206631
1993,10.24384239,25.19740135,0,20.93321845
1994,8.135514205,29.72220921,0,19.08304758
1995,8.984162228,30.54464764,0,29.02844904
1996,8.320078782,25.41179561,0,22.5672784
1997,11.50088387,24.54036614,0,32.97220904
1998,8.706504262,22.49060103,0,33.91367075
1999,9.175669782,15.58986789,0,29.8433554
2000,7.104092035,15.37852528,0,38.11634753
2001,6.095419137,12.78737238,0,25.02744649
2002,5.088722148,16.09366307,0,28.28735887
2003,3.027544973,20.43705786,0,20.13116478
2004,1.279926137,7.720647971,0,23.89163632
2005,1.096618261,9.686731878,0,16.42330101
2006,0.850360108,3.0409734,0,17.84770674
2007,0.645770522,4.086741973,0,12.10098585
2008,0.586838727,4.670889668,0,8.215541242
2009,0.641237881,2.4299318,0,44.01575885
2010,0.792138792,1.744808799,0,4.92203932
2011,0.657232721,1.761088064,0,5.778210687
2012,0.445864721,1.681188365,0,6.477299827
2013,0.479938491,2.255267107,0,6.672780597
2014,0.544561376,2.708261093,0,6.99078709
2015,1.340451023,3.085805577,0,14.70590466
2016,0.76407445,5.064044189,0,15.10916313
2017,0.692060191,2.783417025,0,20.53759135
2018,0.739745289,4.23263827,0,21.24519459
2019,1.02112598,2.919825749,0,24.21152843
2020,0,0,0,23.29318058
