Year,China,India,USA,Ecuador
1960,0,674536630.9,19664164000,41077600
1961,0,666357094.9,18825530000,38397350
1962,0,512791844,17252463900,43348220
1963,0,607862500.4,16878648000,51632720
1964,0,499145125.8,16725493600,51638400
1965,0,600850886.2,15498323200,46038400
1966,0,609694584.5,14953446600,61158146.51
1967,0,663764119.8,14898992000,69213239.67
1968,0,730352744.9,17857180000,62499909.98
1969,0,927764119.8,17031416000,65130089.86
1970,0,1023173271,15236515800,75607786.91
1971,0,1245821898,14831073226,60390308.36
1972,0,1367601419,20573775352,144133547.3
1973,0,1629325093,33703588954,253707163.6
1974,0,2324650347,55700252549,390629826.4
1975,0,2064427968,43154974089,307492486.2
1976,0,3728750637,44162131646,529391109.9
1977,4456360000,6085439869,53374370833,689065038.3
1978,4449800000,8316115828,69447964988,727782749.6
1979,8707600000,11815414019,1.43259E+11,934098834.3
1980,10090779859,12009788667,1.71413E+11,1257167794
1981,10106339043,8108837891,1.23907E+11,797068778
1982,17151500473,8241561693,1.43445E+11,493476335.5
1983,19831702778,8215732399,1.2311E+11,802512378.5
1984,21281443730,8535944481,1.04856E+11,738907098
1985,16881047188,9493102974,1.17982E+11,853631268.5
1986,16417429180,10480102588,1.39884E+11,806084056.6
1987,22453016928,11511740599,1.61738E+11,691666393.2
1988,23751513806,9185839447,1.44177E+11,567569792.2
1989,23052566323,8048455918,1.68584E+11,706539001.1
1990,34475661159,5637446364,1.73094E+11,1009075807
1991,48165019103,7615987475,1.59273E+11,1080977278
1992,24852636915,9538786025,1.47526E+11,1015827333
1993,27348104117,14674627090,1.6462E+11,1541717569
1994,57781337884,24220928469,1.63591E+11,2002942790
1995,80288427870,22864636916,1.75995E+11,1787782199
1996,1.11729E+11,24889364657,1.6066E+11,2011360128
1997,1.46448E+11,28385372946,1.34836E+11,2212962683
1998,1.52843E+11,30646563663,1.46006E+11,1738909755
1999,1.61414E+11,36005295926,1.3645E+11,1887630504
2000,1.71763E+11,41059061575,1.284E+11,1178958456
2001,2.20057E+11,49050841139,1.30077E+11,1073533298
2002,2.97739E+11,71607865094,1.57763E+11,1004402766
2003,4.16199E+11,1.03737E+11,1.84024E+11,1165340428
2004,6.22949E+11,1.31631E+11,1.90465E+11,1439913955
2005,8.3141E+11,1.37825E+11,1.88259E+11,2147944603
2006,1.08076E+12,1.7805E+11,2.21089E+11,2026480314
2007,1.54636E+12,2.76578E+11,2.77549E+11,3520672992
2008,1.96604E+12,2.57423E+11,2.94046E+11,4472854631
2009,2.4529E+12,2.84683E+11,4.04099E+11,3792122232
2010,2.91371E+12,3.0048E+11,4.88929E+11,2622493356
2011,3.25467E+12,2.98739E+11,5.37267E+11,2957999384
2012,3.38751E+12,3.00426E+11,5.74268E+11,2486036144
2013,3.88037E+12,2.98092E+11,4.48509E+11,4345840333
2014,3.90004E+12,3.25081E+11,4.34416E+11,3941357098
2015,3.40525E+12,3.53319E+11,3.83728E+11,2487276600
2016,3.09766E+12,3.61694E+11,4.05942E+11,4215553160
2017,3.23568E+12,4.12614E+11,4.51285E+11,2169697857
2018,3.16822E+12,3.99167E+11,4.49907E+11,2158694032
2019,3.22289E+12,4.6347E+11,5.16701E+11,2939049266
2020,3.35724E+12,5.90227E+11,6.2837E+11,7136589071
,,,,7912190380
