Year,China,India,USA,Ecuador
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,3.068784653,0
1971,0,0,2.698194038,0
1972,0,0,3.137043256,0
1973,0,0,4.104354247,0
1974,0,0,4.857933212,0
1975,0,3.874054855,3.892803797,0
1976,0,7.312783222,3.262006523,4.324207555
1977,0,10.3910421,3.297937542,4.122435168
1978,0,10.5609208,3.625705149,3.517841374
1979,0,11.41289678,6.103344406,3.577780406
1980,0,8.258352404,6.161654509,4.136781158
1981,0,5.432987958,4.082218402,2.380494111
1982,10.532624,5.431671899,4.837333048,1.504501023
1983,11.32916468,5.31354411,3.912365032,3.408902139
1984,9.4110158,5.384315683,2.653561802,2.716570213
1985,4.904785992,5.603183206,2.924834455,3.071536798
1986,5.171386764,5.928524356,3.166281019,2.931214751
1987,6.723970032,5.781032456,3.265035988,2.190550731
1988,5.523393777,3.990473316,2.606233194,1.980470342
1989,5.083723162,3.153607689,2.803189173,2.290239874
1990,8.500615063,2.036402773,2.735575893,3.225601941
1991,10.10879091,2.922966313,2.601693381,3.047868265
1992,3.767168266,3.371169861,2.312314766,3.05129612
1993,3.154852767,5.070948974,2.397651745,3.769726395
1994,5.858938313,6.880554226,2.063913247,4.078143486
1995,6.328255863,5.133859717,1.955235536,3.184662945
1996,7.710670457,5.009045893,1.662758646,3.868421806
1997,15.35845709,5.391801349,1.257268799,3.661521687
1998,15.31556484,5.674376853,1.291271197,2.611861262
1999,13.63649454,6.311481337,1.073773315,4.051020743
2000,10.94135864,6.121479794,0.854272097,2.209649167
2001,12.63175652,7.452952437,0.938134144,1.605573751
2002,15.29923308,10.37308349,1.116478103,1.325212304
2003,11.44274032,12.28328201,1.198783996,1.464947342
2004,12.90440062,11.30510951,1.055591112,1.490662244
2005,14.16976539,8.518473172,0.903588942,1.857014607
2006,15.39320499,8.919928665,0.920734981,1.532974046
2007,18.09579141,11.13919193,1.065994995,2.357034382
2008,19.14593165,7.714252657,1.079013567,2.365811727
2009,25.38976246,9.773711143,1.920280774,2.479023761
2010,21.82948573,7.76063411,2.003318902,1.325031755
2011,19.13075724,6.188790103,1.961358924,1.273317078
2012,19.08304802,5.903715096,2.046624204,1.025012596
2013,19.54328204,6.027746495,1.594175967,1.679573991
2014,18.96542019,6.59913308,1.480111113,1.485403615
2015,17.93578486,8.003091829,1.350073216,1.158489132
2016,16.71609827,8.430139058,1.441262202,2.355545587
2017,15.41753232,8.162718669,1.487383404,1.020083212
2018,13.14173917,6.901055485,1.357657453,0.882332251
2019,13.75417755,8.2736594,1.548367965,1.211339215
2020,14.86850327,12.9283008,2.102921325,3.758390311
