Year,China,India,USA,Ecuador
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,2.19303005,0,1.669809837
1971,0,0.861683643,0,2.10402671
1972,0,0.901263608,0,1.958020768
1973,0,0.816506871,0,2.495797868
1974,0,0.822457212,0,1.922011458
1975,0,0.876838578,0,1.319031095
1976,0,1.176978939,0,1.774337813
1977,0,1.010059515,0,1.883977448
1978,0,0.952123542,0,2.954476504
1979,0,0.83654789,0,8.191077774
1980,0,0.748717126,0,5.885542643
1981,0.890595956,0.801606063,0,6.674215901
1982,1.034678024,0.986987065,0,11.36993303
1983,1.162272129,1.141211119,0,4.936263347
1984,0.875207088,1.361330113,0,7.136181905
1985,0.799716735,1.471601376,0,6.877463692
1986,0.98982674,2.011466071,0,8.130728553
1987,1.411920603,1.890432058,0,6.558585765
1988,1.461958443,1.900010499,0,9.025956358
1989,1.623897214,2.231670947,0,8.273497835
1990,1.950395483,2.428967535,0,7.781386982
1991,2.161922097,2.799851689,0,7.011212899
1992,2.017829323,2.56225568,0,5.736142145
1993,2.290942075,2.878963622,0,5.082626019
1994,1.9771274,3.234427162,0,4.582505227
1995,2.084670412,3.687640766,0,6.931382864
1996,1.850947063,3.007462439,0,6.241823905
1997,1.940504639,2.953208958,0,8.112934956
1998,1.820959894,2.820885932,0,7.359468528
1999,2.462426188,2.180975615,0,12.90240496
2000,2.22371759,2.301935344,0,18.36287889
2001,1.893644587,2.445838803,0,9.606828462
2002,2.136201175,3.019419968,0,9.700088419
2003,2.273980811,4.270981204,0,8.093367052
2004,1.194966362,2.486375894,0,11.49613246
2005,1.211836709,2.937129151,0,10.92978064
2006,1.003002467,1.865263964,0,9.905755474
2007,0.896144014,3.252069701,0,8.010380139
2008,0.721337499,2.599096701,0,4.184612445
2009,0.783526263,1.238895902,0,12.89499007
2010,0.859645864,1.472715013,0,2.546156528
2011,0.83945932,1.620390886,0,3.079753568
2012,0.848647208,1.686451936,0,3.04846447
2013,0.813190132,2.11147369,0,3.35774116
2014,0.77798737,4.606239518,0,4.016022382
2015,1.149637504,2.388558713,0,5.23030793
2016,1.499351123,3.42449506,0,5.491306858
2017,1.677010712,1.953136392,0,6.498725459
2018,1.743423129,2.381826066,0,8.742088549
2019,1.935802969,1.809317589,0,8.948314464
2020,0,0,0,9.640870634
