Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2001","2001","tonnes","650","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","503","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1995","1995","tonnes","459","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","60","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","20","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","11","Austria","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","11","Austria","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","52","Azerbaijan","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1998","1998","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","13","Bahrain","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","13","Bahrain","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","13","Bahrain","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2020","2020","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","80","Bosnia and Herzegovina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","26","Brunei Darussalam","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","4900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","26","Brunei Darussalam","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","26","Brunei Darussalam","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","27","Bulgaria","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2020","2020","tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","33","Canada","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1996","1996","tonnes","42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1998","1998","tonnes","20","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1999","1999","tonnes","5281","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2000","2000","tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","84","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","363","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","2750","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","38","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","59","Egypt","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2018","2018","tonnes","32672","A","Aggregate, may include official, semi-official, estimated or calculated data"
