Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","59","Egypt","4","Algeria","5610","Import Quantity","15","Wheat","2002","2002","tonnes","935","","Official data"
"TM","Detailed trade matrix","59","Egypt","4","Algeria","5610","Import Quantity","15","Wheat","2005","2005","tonnes","10600","","Official data"
"TM","Detailed trade matrix","59","Egypt","4","Algeria","5610","Import Quantity","15","Wheat","2006","2006","tonnes","35144","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","1995","1995","tonnes","24809","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","1998","1998","tonnes","283091","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","1999","1999","tonnes","25447","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2000","2000","tonnes","147610","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2001","2001","tonnes","4575","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2002","2002","tonnes","51850","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2003","2003","tonnes","2000","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2004","2004","tonnes","123512","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2005","2005","tonnes","703000","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2006","2006","tonnes","12450","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2007","2007","tonnes","73095","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2009","2009","tonnes","13400","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2011","2011","tonnes","374933","","Official data"
"TM","Detailed trade matrix","59","Egypt","9","Argentina","5610","Import Quantity","15","Wheat","2013","2013","tonnes","12344","*","Unofficial figure"
