Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","194","Saudi Arabia","2","Afghanistan","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","2","Afghanistan","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","101","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","2","Afghanistan","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2010","2010","tonnes","375","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","9","Argentina","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2020","2020","tonnes","519","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1986","1986","tonnes","25581","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1987","1987","tonnes","20353","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1988","1988","tonnes","14677","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1989","1989","tonnes","14291","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","1998","1998","tonnes","21970","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2000","2000","tonnes","31516","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2001","2001","tonnes","27044","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2002","2002","tonnes","23404","A","Aggregate, may include official, semi-official, estimated or calculated data"
