Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","194","Saudi Arabia","9","Argentina","5610","Import Quantity","15","Wheat","2012","2012","tonnes","173250","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","9","Argentina","5610","Import Quantity","15","Wheat","2015","2015","tonnes","60200","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","1986","1986","tonnes","5032","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2000","2000","tonnes","20","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2005","2005","tonnes","1","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2010","2010","tonnes","58765","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2011","2011","tonnes","57750","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2012","2012","tonnes","341522","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2013","2013","tonnes","408755","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2014","2014","tonnes","300648","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2016","2016","tonnes","","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2017","2017","tonnes","1005","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","10","Australia","5610","Import Quantity","15","Wheat","2020","2020","tonnes","","","Official data"
"TM","Detailed trade matrix","194","Saudi Arabia","13","Bahrain","5610","Import Quantity","15","Wheat","2000","2000","tonnes","554","","Official data"
