Year,"Foreign direct investment, net outflows (% of GDP) China","Foreign direct investment, net outflows (% of GDP) India","Foreign direct investment, net outflows (% of GDP) USA",Ecuador
1960,,,,
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,0.604675474,
1970,,,0.482465554,
1971,,,0.573054702,
1972,,,0.655265698,
1973,,,0.333928062,
1974,,0,0.814883222,
1975,,0,0.604245089,
1976,,0,0.541832026,0
1977,,0,0.611073572,0
1978,,0,0.940878069,0
1979,,0.002146783,0.666361718,0
1980,,0.001033642,0.315243865,0
1981,0.021454027,0.000498219,0.232490746,0
1982,0.04031441,0.002290822,0.241329342,0
1983,0.051549067,0.001885385,0.317514333,0
1984,0.203238879,0.001290257,0.084812579,0
1985,0.149621905,-0.000401629,0.426322557,0
1986,0.236287127,0.001791899,0.819675339,0
1987,0.272127459,0.003708836,0.414422934,0
1988,0.224287423,0.003377895,0.90364756,0
1989,0.230007427,0.001869281,1.005174452,0
1990,0.238149072,-0.004072485,0.800080674,
1991,0.936953099,0.008327307,0.901335163,
1992,0.98936148,0.000125544,1.207250678,0
1993,0.354405913,0.025233567,1.234898938,
1994,0.272276322,0.032527047,1.440623246,
1995,0.244747674,0.060912828,1.276086253,
1996,0.391533332,0.02715262,1.415088655,
1997,0.439923266,0.011295327,1.9283185,
1998,0.368922311,0.017295973,2.569760453,
1999,0.380733225,0.108782767,1.817827937,
2000,0.723908541,0.217149393,1.380112123,0
2001,0.427326487,0.244897685,1.636596029,0
2002,0.509314282,0.203693879,1.703734028,0
2003,0.407733343,0.259051931,3.062160586,0
2004,0.600602413,0.321893491,0.403409154,0
2005,0.869587667,1.492867398,2.05435384,0
2006,0.483187145,1.39932736,3.625070051,0
2007,1.23505626,1.606188857,2.335258894,0
2008,0.860300666,1.199474211,2.163460786,0
2009,0.952062415,0.952969273,2.333422957,0
2010,0.641205592,0.691588004,2.809160184,0
2011,0.761388132,0.467994118,2.329072228,0
2012,0.762463765,0.09505724,2.340181883,0
2013,1.175384509,0.573111845,2.21101946,0
2014,1.576547892,0.357212358,1.656245322,0
2015,1.926636988,0.219944965,1.599433393,0
2016,1.123380739,0.418263755,2.094936479,0
2017,1.029351959,0.422707035,-0.630782443,0
2018,0.9587577,0.457783776,0.570100868,0
2019,0.746612949,0.424046382,1.488742203,0
2020,,,,0
,,,,
,,,,Ecuador
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
