Year,GDP (current US$) India,GDP (current US$) China,GDP (current US$) USA,Ecuador
1960,37029883875,59716467625,5.43E+11,2069465326
1961,39232435784,50056868958,5.63E+11,1753850417
1962,42161481859,47209359006,6.05E+11,1518208221
1963,48421923459,50706799903,6.39E+11,1824344492
1964,56480289941,59708343489,6.86E+11,2244146868
1965,59554854575,70436266147,7.44E+11,2387048255
1966,45865462034,76720285970,8.15E+11,2429309514
1967,50134942203,72881631327,8.62E+11,2553596092
1968,53085455871,70846535056,9.43E+11,2582180794
1969,58447995017,79705906247,1.02E+12,3112166848
1970,62422483055,92602973434,1.07E+12,2862504170
1971,67350988021,99800958648,1.16E+12,2754220263
1972,71463193830,1.14E+11,1.28E+12,3185987235
1973,85515269586,1.39E+11,1.43E+12,3891755552
1974,99525899116,1.44E+11,1.55E+12,6599259421
1975,98472796457,1.63E+11,1.68E+12,7731677257
1976,1.03E+11,1.54E+11,1.87E+12,9091924305
1977,1.21E+11,1.75E+11,2.08E+12,11026346590
1978,1.37E+11,1.50E+11,2.35E+12,11922502171
1979,1.53E+11,1.78E+11,2.63E+12,14175166008
1980,1.86E+11,1.91E+11,2.86E+12,17881514683
1981,1.93E+11,1.96E+11,3.21E+12,21810767209
1982,2.01E+11,2.05E+11,3.34E+12,19929853575
1983,2.18E+11,2.31E+11,3.63E+12,17152483214
1984,2.12E+11,2.60E+11,4.04E+12,16912515183
1985,2.33E+11,3.09E+11,4.34E+12,17149094590
1986,2.49E+11,3.01E+11,4.58E+12,15314143988
1987,2.79E+11,2.73E+11,4.86E+12,13945431882
1988,2.97E+11,3.12E+11,5.24E+12,13051886552
1989,2.96E+11,3.48E+11,5.64E+12,13890828708
1990,3.21E+11,3.61E+11,5.96E+12,15239278100
1991,2.70E+11,3.83E+11,6.16E+12,16988535268
1992,2.88E+11,4.27E+11,6.52E+12,18094238119
1993,2.79E+11,4.45E+11,6.86E+12,18938717359
1994,3.27E+11,5.64E+11,7.29E+12,22708673337
1995,3.60E+11,7.35E+11,7.64E+12,24432884442
1996,3.93E+11,8.64E+11,8.07E+12,25226393197
1997,4.16E+11,9.62E+11,8.58E+12,28162053027
1998,4.21E+11,1.03E+12,9.06E+12,27981896948
1999,4.59E+11,1.09E+12,9.63E+12,19645272636
2000,4.68E+11,1.21E+12,1.03E+13,18327764882
2001,4.85E+11,1.34E+12,1.06E+13,24468324000
2002,5.15E+11,1.47E+12,1.09E+13,28548945000
2003,6.08E+11,1.66E+12,1.15E+13,32432858000
2004,7.09E+11,1.96E+12,1.22E+13,36591661000
2005,8.20E+11,2.29E+12,1.30E+13,41507085000
2006,9.40E+11,2.75E+12,1.38E+13,46802044000
2007,1.22E+12,3.55E+12,1.45E+13,51007777000
2008,1.20E+12,4.59E+12,1.47E+13,61762635000
2009,1.34E+12,5.10E+12,1.44E+13,62519686000
