Year,GDP growth (annual %) India,GDP growth (annual %) China,GDP growth (annual %) USA,Ecuador
1960,3.722742533,-27.27,2.3,
1961,2.931127737,-5.57999999,6.1,5.124414879
1962,5.994353261,10.3,4.4,4.919146942
1963,7.452950122,18.17999999,5.8,2.106368247
1964,-2.63577011,16.95,6.4,7.407245362
1965,-0.05532877,10.65,6.5,3.275082488
1966,7.82596303,-5.770000004,2.5,-0.3395256394
1967,3.387929176,-4.099999992,4.8,4.621073941
1968,6.539700296,16.94,3.1,1.909438399
1969,5.157229736,19.3,-0.346648734,4.66923798
1970,1.642930384,7.060000003,3.293351653,6.87192933
1971,-0.553301312,3.809999998,5.258907331,6.292606196
1972,3.295521135,7.760000002,5.645722571,5.017640704
1973,1.18533626,2.31,-0.540551663,13.95068213
1974,9.149912015,8.72,-0.205456064,11.20850963
1975,1.663103637,-1.570000003,5.388139293,10.972154
1976,7.254764586,7.569999999,4.624153064,7.397187619
1977,5.712532089,11.32597799,5.53530496,1.604842112
1978,-5.238182703,7.59132468,3.166145311,5.706824945
1979,6.735821528,7.834145016,-0.256749677,3.734048401
1980,6.006203624,5.112761091,2.537719298,3.708682969
1981,3.47573324,9.017113914,-1.802887407,5.61286412
1982,7.288892901,10.77020251,4.583913364,0.6148453536
1983,3.820737856,15.19154002,7.236633158,-0.336868771
1984,5.254299223,13.43067752,4.169656215,2.625273268
1985,4.77656417,8.949961764,3.462645977,3.935001412
1986,3.965355634,11.65742779,3.459251985,3.464782516
1987,9.62778292,11.22259498,4.177061284,-0.2590987084
1988,5.947343328,4.206334355,3.672648159,5.89046729
1989,5.533454563,3.920251368,1.885964958,1.005777946
1990,1.056831433,9.262786084,-0.108264787,3.679914053
1991,5.482396022,14.22452959,3.522440523,4.291342398
1992,4.75077622,13.8837293,2.751781042,2.114310675
1993,6.658924067,13.03680663,4.028793263,1.973218079
1994,7.57449184,10.95395434,2.684217275,4.258250468
1995,7.549522249,9.922556752,3.772565502,2.252548774
1996,4.049820849,9.236779892,4.381775174,1.731747514
1997,6.184415821,7.845951788,4.481407561,4.327864764
1998,8.845755561,7.661651501,4.753235983,3.266529404
1999,3.840991157,8.490093406,4.127484017,-4.739385791
2000,4.823966264,8.335733478,0.998340792,1.091801564
2001,3.803975321,9.13363079,1.741695251,4.0156299
2002,7.860381476,10.03803048,2.861210768,4.096776659
2003,7.922936613,10.11362138,3.798891125,2.722877337
2004,7.923430621,11.39459181,3.513213799,8.211020917
2005,8.060732573,12.72095567,2.854972294,5.291308267
2006,7.660815065,14.23086093,1.876171454,4.403526434
2007,3.08669806,9.65067892,-0.136579803,2.190063972
2008,7.861888833,9.398725632,-2.536757067,6.3571306
2009,8.497584702,10.63587106,2.56376656,0.5664915921
2010,5.241315001,9.550832179,1.550835505,3.525298669
2011,5.456388753,7.863736449,2.249545852,7.868140919
2012,6.386106401,7.766150098,1.842081071,5.641962067
2013,7.410227605,7.425763656,2.525973446,4.946511267
2014,7.996253786,7.041328879,3.07551465,3.788868549
2015,8.256305502,6.848762205,1.711426774,0.09887260835
2016,6.795383419,6.947200793,2.332679395,-1.226383985
2017,6.532989011,6.749773832,2.996464352,2.368386526
2018,4.041554187,5.949714233,2.161176515,1.289291933
2019,-7.964610411,2.3,-3.486140408,0.01210510285
2020,,,,-7.787607091
,,,,4.235251242
