Year,Area harvested (ha),Production (tonnes),,
1961,4400,8000,,
1962,4400,8000,0,0
1963,2500,3000,-0.431818182,-0.625
1964,2500,3000,0,0
1965,2500,4000,0,0.333333333
1966,2500,3000,0,-0.25
1967,2500,4000,0,0.333333333
1968,3000,6000,0.2,0.5
1969,3000,6000,0,0
1970,2000,4000,-0.333333333,-0.333333333
1971,1900,3500,-0.05,-0.125
1972,1800,3200,-0.052631579,-0.085714286
1973,1700,3000,-0.055555556,-0.0625
1974,1600,3300,-0.058823529,0.1
1975,1500,3100,-0.0625,-0.060606061
1976,1500,2800,0,-0.096774194
1977,1500,3250,0,0.160714286
1978,1500,3000,0,-0.076923077
1979,1500,3000,0,0
1980,2200,6000,0.466666667,1
1981,4800,13000,1.181818182,1.166666667
1982,6283,18197,0.308958333,0.399769231
1983,6733,21612,0.071621837,0.187668297
1984,7468,22996,0.10916382,0.064038497
1985,7840,31422,0.049812533,0.36641155
1986,11347,40930,0.447321429,0.302590542
1987,8951,32957,-0.211157134,-0.194795993
1988,10544,37821,0.177968942,0.147586249
1989,12143,64009,0.151650228,0.692419555
1990,15025,44482,0.237338384,-0.305066475
1991,17973,64486,0.196206323,0.449709995
1992,22208,71237,0.235631225,0.10468939
1993,25976,110819,0.169668588,0.555638222
1994,28975,117218,0.115452726,0.057742806
1995,32287,119218,0.114305436,0.017062226
1996,35781,113185,0.108216929,-0.050604774
1997,41766,124196,0.167267544,0.097283209
1998,45152,145145,0.081070727,0.16867693
1999,50161,142906,0.110936393,-0.015425953
2000,51971,129276,0.03608381,-0.095377381
2001,61795,162838,0.189028497,0.259615087
2002,67194,177673,0.087369528,0.091102814
2003,74979,204883,0.115858559,0.153146511
2004,88888,168320,0.185505275,-0.178457949
2005,96697,247864,0.087852129,0.472576046
2006,146010,367445,0.509974456,0.482446019
2007,119687,299789,-0.180282172,-0.184125515
2008,115919,260355,-0.031482116,-0.131539183
2009,116794,279742,0.007548374,0.074463713
2010,117603,268135,0.006926726,-0.041491803
2011,112855,280275,-0.04037312,0.045275701
2012,124843,284421,0.106224802,0.014792614
2013,109759,222610,-0.120823755,-0.217322209
2014,141019,403158,0.284805802,0.811050716
2015,142000,420000,0.006956509,0.041775185
2016,71425,349192,-0.497007042,-0.168590476
2017,53952,393598,-0.244634232,0.127167862
2018,43946,304040,-0.185461151,-0.227536725
2019,44780,321074,0.018977836,0.056025523
2020,59920,356666,0.338097365,0.11085295
